task_index,slug,prompt,event,close_chunk,burst_chunk,release_chunk,close_gripper_mean,burst_gripper_mean,release_gripper_mean,close_l17_p99,burst_l17_p99,release_l17_p99,close_l17_top,burst_l17_top,release_l17_top
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,1,6,7,10,0.6538370364130677,0.7641850074344158,0.004686857205712796,1848.0,6245.440000000002,4000.0,81408.0,288768.0,171008.0
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,2,25,25,28,0.8448785069440128,0.8448785069440128,0.011162920196056369,4384.0,4384.0,1681.3600000000006,205824.0,205824.0,82432.0
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,3,30,31,32,0.8055141680615188,0.837816011235988,0.008287737240761518,1176.0,6826.880000000005,2802.720000000001,40448.0,274432.0,120832.0
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,4,36,37,39,0.8315135936709167,0.8098183084933519,0.00983324429674745,1464.0,4485.440000000002,1536.0,61952.0,228352.0,81920.0
2,task_02_put_the_cube_in_the_bowl,Put the cube in the bowl,1,7,7,10,0.6924222175297738,0.6924222175297738,0.05393640529212356,4320.0,4320.0,1257.3600000000006,252928.0,252928.0,55296.0
3,task_03_put_the_bowl_in_the_grey_bin,put the bowl in the grey bin,1,5,7,12,0.869878045104146,0.965114972718072,0.8116188547846735,1304.0,7594.880000000005,1754.7200000000012,50432.0,259072.0,72192.0
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,1,10,11,12,0.6277828072935822,0.486016342886138,0.007304720508491994,1464.0,2976.0,2578.720000000001,63232.0,131072.0,155648.0
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,2,15,16,18,0.8185017596940636,0.8602129497916103,0.009814361330097913,1970.7200000000012,6122.880000000005,1449.3600000000006,106496.0,240640.0,98304.0
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,3,22,22,26,0.6064660395850896,0.6064660395850896,0.005645921611887218,4645.440000000002,4645.440000000002,1080.0,238592.0,238592.0,76800.0
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,4,29,30,33,0.9504412430063011,0.9542394407066347,0.008578891689294576,3872.0,5440.0,2192.0,202752.0,194560.0,132096.0
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,5,43,46,47,0.6436511379152655,0.8318396416805863,0.005723586900132895,1225.3600000000006,1713.3600000000006,1537.3600000000006,64000.0,84480.0,79360.0
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,6,50,58,59,0.744795100867474,0.8838885230275155,0.007116335801446438,1073.3600000000006,1569.3600000000006,1361.3600000000006,48640.0,88064.0,73216.0
5,task_05_pack_canned_foods_into_the_bin,Pack canned foods into the bin,1,4,5,8,0.6251095405800283,0.671596589705372,0.03411882714189291,1024.0,2738.720000000001,1073.3600000000006,33792.0,115200.0,52992.0
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,1,28,29,30,0.6184055093694448,0.6409511716482997,0.008123515420979261,1122.7200000000012,3056.0,1144.0,29568.0,161792.0,68096.0
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,2,34,35,36,0.7292321157224894,0.2969712445057869,0.005245706410360337,2017.3600000000006,2064.0,1577.3600000000006,81920.0,107520.0,102400.0
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,1,6,6,7,0.7629035798390151,0.7629035798390151,0.08993705732268692,3024.0,3024.0,1304.0,133120.0,133120.0,75264.0
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,2,10,11,13,0.6142195255357862,0.696335532596326,-0.0033765052596509463,1305.3600000000006,3554.720000000001,1740.0800000000017,60672.0,206848.0,105472.0
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,3,17,17,18,0.6461808436270595,0.6461808436270595,0.013257685991406441,2064.0,2064.0,1745.3600000000006,103424.0,103424.0,80896.0
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,4,31,31,32,0.902659165225947,0.902659165225947,0.029209819958031177,4128.0,4128.0,1088.0,242688.0,242688.0,42496.0
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,5,37,37,38,0.76682056979388,0.76682056979388,0.0189699462898314,2496.0,2496.0,1290.7200000000012,150528.0,150528.0,54784.0
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,1,11,11,13,0.9817827484754562,0.9817827484754562,0.059046828138345483,2098.720000000001,2098.720000000001,1801.3600000000006,80896.0,80896.0,86528.0
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,2,18,21,24,0.830555011966288,0.9580618569141627,0.007518227546614409,1320.0,5610.880000000005,1458.7200000000012,59136.0,226304.0,75264.0
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,3,34,39,41,0.7493224003819228,0.9803512384413601,0.06986276736633182,892.6800000000003,7685.440000000002,1384.0,32384.0,409600.0,92160.0
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,1,5,6,8,0.870437092951405,0.8659129915830017,0.006479815349274874,1992.0,6565.440000000002,1465.3600000000006,87040.0,305152.0,88064.0
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,2,13,14,16,0.8857488071113944,0.8575230348407866,0.4040626923912585,5445.440000000002,5605.440000000002,2024.0,305152.0,313344.0,116736.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,1,5,12,13,0.8029996346723914,0.44989922470602395,0.013029640300548076,1304.0,4256.0,2802.720000000001,68096.0,248832.0,143360.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,2,20,21,21,0.6268236217154146,-0.0007846542068481445,-0.0007846542068481445,1272.0,1448.0,1448.0,42496.0,90112.0,90112.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,3,30,30,35,0.9643115984315157,0.9643115984315157,0.007953622354638578,3296.0,3296.0,1778.7200000000012,239616.0,239616.0,142336.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,4,45,48,49,0.6058729265163839,0.9905532289771201,0.023620787603652476,1650.7200000000012,2528.0,1816.0,99840.0,158720.0,129536.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,5,56,59,60,0.9236849135628821,0.9106878347592116,0.05837748000819684,1561.3600000000006,2048.0,1921.3600000000006,75776.0,97280.0,87552.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,6,61,63,63,0.8917007038970592,0.007328462273418903,0.007328462273418903,1736.0,2160.0,2160.0,140288.0,148480.0,148480.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,7,64,70,70,0.8477103699185911,0.006398663883197308,0.006398663883197308,1442.7200000000012,1656.0,1656.0,102912.0,86016.0,86016.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,8,74,79,79,0.6837580485673606,0.007424396722644568,0.007424396722644568,1584.0,2869.4400000000023,2869.4400000000023,76288.0,164864.0,164864.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,9,81,85,91,0.8291562720038115,0.6166750978249669,0.011694839421862361,1849.3600000000006,2704.0,1672.0,143360.0,156672.0,106496.0
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,10,94,96,97,0.9444326297822,0.4298289373982906,0.004838741332894564,2194.720000000001,3026.720000000001,1512.0,108032.0,112640.0,122368.0
