task_index,slug,prompt,rank,chunk,reason,is_prominent,robust_z,gripper_mean,l17_mean,l17_p99,l17_top,prev_p99_delta,next_p99_delta,top_neuron,top_value,top_token_index,is_static_candidate,quality_score,groups,top_tokens
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,1,31,gripper_window,True,6.988904654129446,0.837816011235988,472.84884282946587,6826.880000000005,274432.0,5650.880000000005,-4024.1600000000035,9926,274432.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,2,7,gripper_window,True,6.200389479627933,0.7641850074344158,460.9078012902319,6245.440000000002,288768.0,4397.440000000002,-4018.720000000001,9926,288768.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,3,37,gripper_window,True,3.813579650371849,0.8098183084933519,324.47704216919374,4485.440000000002,228352.0,3021.4400000000023,-2357.4400000000023,9926,228352.0,819,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,4,25,gripper_window,True,3.6760126111219953,0.8448785069440128,310.1332868565223,4384.0,205824.0,3342.6399999999994,-592.0,9926,205824.0,820,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,5,10,l17_peak,True,3.1552541029206678,0.004686857205712796,286.8688846192963,4000.0,171008.0,1520.0,-2406.6399999999994,9926,171008.0,816,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
2,task_02_put_the_cube_in_the_bowl,Put the cube in the bowl,1,7,gripper_window,True,5.163153356148358,0.6924222175297738,316.7230361493421,4320.0,252928.0,3030.6399999999994,-2144.0,9926,252928.0,814,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
2,task_02_put_the_cube_in_the_bowl,Put the cube in the bowl,2,9,top_p99,False,2.009272111041103,0.7108092967368006,167.4109925810626,2485.4400000000023,125440.0,309.4400000000023,-1228.0800000000017,9926,125440.0,814,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
2,task_02_put_the_cube_in_the_bowl,Put the cube in the bowl,3,8,top_p99,False,1.477298770029636,0.712912492924583,136.88729064620566,2176.0,107520.0,-2144.0,309.4400000000023,9926,107520.0,813,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
2,task_02_put_the_cube_in_the_bowl,Put the cube in the bowl,4,1,top_p99,False,1.0784562961585802,0.00795640335119963,127.65895129711862,1944.0,114176.0,nan,-600.0,9926,114176.0,811,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
2,task_02_put_the_cube_in_the_bowl,Put the cube in the bowl,5,2,top_p99,False,0.046967139595504866,0.0010024817217707635,94.0836287921993,1344.0,83456.0,-600.0,-347.3199999999997,9926,83456.0,812,True,24,action,"<eos> ▁the ▁and ▁in ▁▁ , ▁to ▁on"
