task_index,slug,prompt,chunk_count,start_request_number,end_request_number,detected_gripper_events,best_burst_chunk,best_burst_reason,best_burst_l17_p99,best_burst_robust_z,best_burst_top_neuron,max_l17_p99,max_l17_p99_chunk,max_l17_top,max_l17_top_chunk
1,task_01_pick_up_the_banana_and_place_it_in_the_bowl,Pick up the banana and place it in the bowl,39,1,39,4,31,gripper_window,6826.880000000005,6.988904654129446,9926,6826.880000000005,31,288768.0,7
2,task_02_put_the_cube_in_the_bowl,Put the cube in the bowl,10,40,49,1,7,gripper_window,4320.0,5.163153356148358,9926,4320.0,7,252928.0,7
3,task_03_put_the_bowl_in_the_grey_bin,put the bowl in the grey bin,12,50,61,1,7,gripper_window,7594.880000000005,11.314789509042274,9926,7594.880000000005,7,259072.0,7
4,task_04_put_the_canned_food_in_the_grey_bin,Put the canned food in the grey bin,60,62,121,6,16,gripper_window,6122.880000000005,15.563684957926506,9926,6122.880000000005,16,240640.0,16
5,task_05_pack_canned_foods_into_the_bin,Pack canned foods into the bin,60,122,181,1,5,gripper_window,2738.720000000001,6.531197492215263,9926,2738.720000000001,5,165888.0,1
6,task_06_put_the_small_red_yogurt_in_the_red_bowl,Put the small red yogurt in the red bowl,40,182,221,2,25,l17_peak,5056.0,4.76985607573599,9926,5056.0,25,245760.0,25
7,task_07_put_the_red_bbq_sauce_bottle_in_the_crate,Put the red bbq sauce bottle in the crate,40,222,261,5,31,gripper_window,4128.0,7.363769149606269,9926,4128.0,31,242688.0,31
8,task_08_move_an_orange_to_the_white_bowl,Move an orange to the white bowl,60,262,321,3,39,gripper_window,7685.440000000002,13.501353647807232,9926,7685.440000000002,39,409600.0,39
9,task_09_put_2_bananas_in_the_crate,Put 2 bananas in the crate,16,322,337,2,6,gripper_window,6565.440000000002,6.365407013577101,9926,6565.440000000002,6,313344.0,14
10,task_10_pack_yellow_objects_in_right_container_and_blue_object_in_the_left_con,Pack yellow objects in right container and blue object in the left container,120,338,457,13,120,l17_peak,6400.0,11.000077925785668,9926,6400.0,120,358400.0,120
11,task_11_put_all_the_oranges_on_the_plate,Put all the oranges on the plate,13,458,470,2,11,gripper_window,3696.0,12.23214404159354,9926,3696.0,11,165888.0,11
12,task_12_put_the_red_hammer_and_black_hammer_in_the_left_bin,Put the red hammer and black hammer in the left bin,180,471,650,14,145,l17_peak,6720.0,12.841049470023597,9926,6720.0,145,350208.0,145
13,task_13_put_the_non_hammer_tools_in_the_right_bin,Put the non-hammer tools in the right bin,180,651,830,21,58,gripper_window,6725.440000000002,7.183040811719472,9926,6725.440000000002,58,337920.0,104
14,task_14_put_two_2_mugs_on_the_wire_shelf,Put two (2) mugs on the wire shelf,180,831,1010,8,49,gripper_window,7232.0,12.289111022232502,9926,7232.0,49,335872.0,49
15,task_15_put_the_two_measuring_cups_outside_of_the_plate,Put the two measuring cups outside of the plate,74,1011,1084,4,22,l17_peak,5413.440000000002,14.648769430933095,9926,5413.440000000002,22,276480.0,22
16,task_16_clean_up_the_white_mugs,Clean up the white mugs,60,1085,1144,4,24,gripper_window,6144.0,10.535076020435048,9926,6144.0,24,262144.0,24
17,task_17_put_the_whiteboard_marker_in_the_mug,Put the whiteboard marker in the mug,40,1145,1184,1,2,l17_peak,2496.0,4.357198834203622,9926,2496.0,2,120320.0,1
18,task_18_put_the_metal_spoon_that_s_in_the_wooden_bowl_in_the_mug,Put the metal spoon that's in the wooden bowl in the mug,60,1185,1244,1,14,gripper_window,4082.720000000001,7.5726652559763235,9926,4082.720000000001,14,241664.0,2
19,task_19_take_the_white_colored_measuring_spoon_out_of_the_red_bowl_and_put_it,Take the white colored measuring spoon out of the red bowl and put it on the table.,39,1245,1283,4,39,gripper_window,2768.0,6.3976345746285235,9926,2768.0,39,173056.0,39
20,task_20_stack_the_yellow_block_on_the_red_block,Stack the yellow block on the red block,28,1284,1311,2,21,gripper_window,4901.440000000002,9.80068245196189,9926,4901.440000000002,21,292864.0,21
